Data,Kurs średni,Zmiana
04/08/2020,4.406,-0.24
03/08/2020,4.4168,0.22
31/07/2020,4.4072,-0.04
30/07/2020,4.409,-0.24
29/07/2020,4.4194,0.47
28/07/2020,4.3987,-0.08
27/07/2020,4.4023,-0.21
24/07/2020,4.4117,0.02
23/07/2020,4.4108,-0.66
22/07/2020,4.4401,-0.04
21/07/2020,4.4417,-0.6
20/07/2020,4.4683,-0.32
17/07/2020,4.4827,-0.19
16/07/2020,4.4913,0.39
15/07/2020,4.4738,-0.4
14/07/2020,4.4916,0.38
13/07/2020,4.4745,0
10/07/2020,4.4745,0.02
09/07/2020,4.4738,0
08/07/2020,4.4739,0.06
07/07/2020,4.471,0.03
06/07/2020,4.4697,0.06
03/07/2020,4.4671,0.03
02/07/2020,4.4659,0.44
01/07/2020,4.4465,-0.44
30/06/2020,4.466,0.06
29/06/2020,4.4631,0.03
26/06/2020,4.4616,0.27
25/06/2020,4.4495,-0.08
24/06/2020,4.4532,0.33
23/06/2020,4.4386,-0.31
22/06/2020,4.4524,-0.11
19/06/2020,4.4573,0.09
18/06/2020,4.4534,0.07
17/06/2020,4.4503,0.51
16/06/2020,4.4278,-0.28
15/06/2020,4.4403,-0.23
12/06/2020,4.4506,-0.09
10/06/2020,4.4544,0.24
09/06/2020,4.4436,0.33
08/06/2020,4.4291,-0.34
05/06/2020,4.4443,0.22
04/06/2020,4.4347,1.11
03/06/2020,4.3859,-0.1
02/06/2020,4.3902,-0.68
01/06/2020,4.4202,-0.68
29/05/2020,4.4503,0.54
28/05/2020,4.4264,-0.26
27/05/2020,4.4378,-0.94
26/05/2020,4.48,-0.69
25/05/2020,4.5111,-0.27
22/05/2020,4.5234,-0.29
21/05/2020,4.5365,-0.38
20/05/2020,4.554,-0.15
19/05/2020,4.561,-0.07
18/05/2020,4.5644,0.2
15/05/2020,4.5552,-0.31
14/05/2020,4.5693,0.07
13/05/2020,4.5661,0.25
12/05/2020,4.5549,-0.05
11/05/2020,4.5572,-0.01
08/05/2020,4.5577,0.16
07/05/2020,4.5505,0.25
06/05/2020,4.539,-0.19
05/05/2020,4.5476,-0.23
04/05/2020,4.5582,0.35
30/04/2020,4.5424,-0.02
29/04/2020,4.5432,0.07
28/04/2020,4.5399,0.35
27/04/2020,4.524,-0.2
24/04/2020,4.533,-0.25
23/04/2020,4.5444,0.25
22/04/2020,4.5329,0.12
21/04/2020,4.5276,0.22
20/04/2020,4.5175,-0.42
17/04/2020,4.5367,0.09
16/04/2020,4.5326,-0.14
15/04/2020,4.5389,-0.27
14/04/2020,4.5512,0.06
10/04/2020,4.5484,0.25
09/04/2020,4.537,0.02
08/04/2020,4.5362,0.04
07/04/2020,4.5342,-0.59
06/04/2020,4.5612,-0.39
03/04/2020,4.5792,0.05
02/04/2020,4.5769,0.16
01/04/2020,4.5694,0.38
31/03/2020,4.5523,0.28
30/03/2020,4.5395,0.33
27/03/2020,4.5246,-1.56
26/03/2020,4.5962,0.4
25/03/2020,4.5779,-0.58
24/03/2020,4.6044,1.04
23/03/2020,4.5571,0.25
20/03/2020,4.5459,-1
19/03/2020,4.5917,2.48
18/03/2020,4.4806,-0.18
17/03/2020,4.4886,2.22
16/03/2020,4.3911,0.67
13/03/2020,4.3618,0.38
12/03/2020,4.3451,0.66
11/03/2020,4.3167,-0.08
10/03/2020,4.32,0.06
09/03/2020,4.3176,0
06/03/2020,4.3178,0.43
05/03/2020,4.2994,0
04/03/2020,4.2993,-0.42
03/03/2020,4.3173,-0.15
02/03/2020,4.3237,-0.27
28/02/2020,4.3355,0.59
27/02/2020,4.31,0.02
26/02/2020,4.3093,0.23
25/02/2020,4.2996,-0.05
24/02/2020,4.3017,0.43
21/02/2020,4.2831,0.1
20/02/2020,4.2789,0.13
19/02/2020,4.2732,0.04
18/02/2020,4.2714,0.5
17/02/2020,4.2502,0.24
14/02/2020,4.2402,-0.36
13/02/2020,4.2557,-0.1
12/02/2020,4.2599,-0.02
11/02/2020,4.2609,-0.21
